@relation ../Data/18_edits_alt

@attribute revert_edits numeric
@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute featured_lists numeric
@attribute draft_edits numeric
@attribute featured_articles numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute hasCategoryActivity {1, 0}
@attribute minor_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute hasFeaturedContent {1, 0}
@attribute merge_votes numeric
@attribute hasMultipleAccounts {1, 0}
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute nonminor_edits numeric
@attribute elections numeric
@attribute delete_votes numeric
@attribute images_uploaded numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric
@attribute large_edits numeric


@data
241 , 48 , 118 , 0 , 0 , 0 , 6 , 1 , 14 , 1885 , 1 , 2169 , 0 , 2931 , 21 , 1084 , 5135 , 2 , 19 , 0 , 3659 , 0 , 1 , 0 , 1 , 600 , 1 , 9 , 19 , 127 , 0 , 10456 , 1 , 8 , 4 , 183 , 873 , 24 , 13030 , 2679
742 , 16 , 41 , 0 , 0 , 0 , 0 , 0 , 0 , 5922 , 1 , 13759 , 0 , 364 , 26 , 664 , 15373 , 0 , 1 , 0 , 1474 , 0 , 0 , 0 , 1 , 61 , 1 , 0 , 2 , 56 , 0 , 13673 , 1 , 1 , 5 , 46 , 145 , 5 , 23713 , 6262
616 , 7 , 630 , 0 , 0 , 0 , 0 , 0 , 0 , 2214 , 1 , 4173 , 0 , 1577 , 4 , 128 , 2415 , 1 , 38 , 0 , 267 , 0 , 0 , 2 , 1 , 147 , 1 , 14 , 8 , 12 , 0 , 8824 , 1 , 21 , 13 , 16 , 17 , 2 , 5083 , 3656
826 , 58 , 31 , 0 , 1 , 0 , 0 , 0 , 4 , 7570 , 1 , 6538 , 0 , 2070 , 40 , 1461 , 7742 , 3 , 67 , 0 , 3286 , 1 , 0 , 3 , 1 , 124 , 1 , 21 , 51 , 224 , 0 , 6534 , 1 , 39 , 0 , 721 , 1137 , 79 , 22316 , 3427
693 , 16 , 65 , 0 , 0 , 0 , 0 , 0 , 1 , 3975 , 1 , 5287 , 1 , 1865 , 6 , 1132 , 4033 , 2 , 63 , 1 , 1917 , 1 , 0 , 5 , 1 , 288 , 1 , 9 , 5 , 770 , 0 , 13194 , 1 , 45 , 0 , 493 , 719 , 46 , 13098 , 6219
319 , 8 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 445 , 0 , 882 , 0 , 1834 , 4 , 102 , 444 , 1 , 8 , 0 , 1025 , 14 , 0 , 1 , 1 , 87 , 1 , 1 , 0 , 25 , 0 , 10228 , 1 , 5 , 9 , 161 , 122 , 2 , 2344 , 4206
2775 , 2 , 10 , 0 , 1 , 0 , 2 , 0 , 0 , 1029 , 0 , 804 , 0 , 1435 , 0 , 1709 , 10772 , 6 , 181 , 0 , 736 , 0 , 0 , 6 , 1 , 41 , 1 , 46 , 0 , 147 , 3 , 15234 , 1 , 119 , 0 , 245 , 214 , 42 , 14896 , 2154
399 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 19 , 929 , 1 , 3006 , 0 , 2925 , 0 , 5066 , 13321 , 1 , 21 , 0 , 822 , 0 , 0 , 2 , 0 , 342 , 1 , 5 , 369 , 63 , 0 , 19410 , 1 , 13 , 0 , 11 , 532 , 14 , 21146 , 470
114 , 2 , 34 , 0 , 0 , 0 , 1 , 0 , 0 , 3222 , 0 , 1511 , 0 , 387 , 0 , 261 , 947 , 1 , 55 , 0 , 877 , 0 , 0 , 0 , 1 , 15 , 1 , 1 , 0 , 11 , 3 , 2958 , 1 , 50 , 0 , 279 , 1772 , 11 , 7381 , 1460
983 , 0 , 89 , 0 , 1 , 0 , 0 , 0 , 0 , 327 , 1 , 2004 , 0 , 1370 , 1 , 110 , 2901 , 3 , 175 , 0 , 204 , 0 , 0 , 3 , 1 , 272 , 1 , 113 , 3 , 171 , 1 , 6873 , 1 , 54 , 0 , 98 , 80 , 96 , 3991 , 2058
321 , 6 , 31 , 0 , 0 , 0 , 0 , 0 , 0 , 4731 , 1 , 3311 , 1 , 1072 , 6 , 315 , 4085 , 1 , 70 , 0 , 1152 , 0 , 0 , 2 , 1 , 106 , 1 , 12 , 4 , 34 , 1 , 4538 , 1 , 53 , 1 , 42 , 132 , 8 , 10509 , 2074
6148 , 12 , 198 , 0 , 1 , 0 , 0 , 0 , 0 , 1683 , 1 , 8037 , 0 , 2540 , 16 , 822 , 28433 , 2 , 138 , 0 , 1654 , 0 , 0 , 2 , 1 , 1318 , 1 , 113 , 40 , 184 , 0 , 53759 , 1 , 20 , 11 , 339 , 167 , 14 , 33352 , 4955
9 , 0 , 29 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 2 , 0 , 242 , 0 , 20 , 302 , 0 , 0 , 0 , 10 , 0 , 0 , 0 , 1 , 81 , 0 , 0 , 0 , 4 , 0 , 493 , 1 , 0 , 0 , 0 , 56 , 0 , 404 , 41
950 , 6 , 48 , 0 , 2 , 0 , 0 , 0 , 2 , 4343 , 1 , 4405 , 0 , 381 , 15 , 1152 , 8583 , 4 , 166 , 0 , 1079 , 0 , 0 , 4 , 1 , 54 , 0 , 42 , 57 , 147 , 1 , 11930 , 1 , 113 , 3 , 88 , 865 , 18 , 16349 , 4335
126 , 2 , 83 , 0 , 0 , 0 , 0 , 0 , 1 , 591 , 1 , 499 , 0 , 1647 , 0 , 1163 , 2716 , 0 , 4 , 0 , 716 , 0 , 0 , 0 , 1 , 194 , 0 , 3 , 10 , 116 , 0 , 5503 , 2 , 1 , 0 , 586 , 112 , 20 , 6031 , 1363
