username,date_of_election,isSuccessful,votes,pages_created,total_edits,article_edits,user_edits,user_talk_edits,file_edits,file_talk_edits,template_edits,template_talk_edits,wikipedia_edits,wikipedia_talk_edits,category_edits,category_talk_edits,draft_edits,draft_talk_edits,talk_edits,gender,days_active,keep_votes,delete_votes,sp_keep_votes,sp_delete_votes,merge_votes,redirect_votes,transwiki_votes,userfy_votes,total_afd_votes,accounts,featured_articles,featured_lists,elections
Scottywong,2012-03-23 00:01:00,1,8,87,2344,444,122,445,4,14,25,2,1025,161,0,0,0,0,102,male,1834,1,5,0,0,1,1,0,0,8,4,0,0,1
Sergecross73,2012-11-15 02:18:00,1,2,41,14896,10772,214,1029,0,0,147,42,736,245,0,0,2,0,1709,unknown,1435,46,119,1,3,6,6,0,0,181,10,0,0,1
TommyBoy,2012-11-11 23:12:00,1,0,342,21146,13321,532,929,0,0,63,14,822,11,369,19,0,0,5066,male,2925,5,13,0,0,2,1,0,0,21,1,0,0,1
Writ Keeper,2012-10-19 23:13:00,1,2,15,7381,947,1772,3222,0,0,11,11,877,279,0,0,1,0,261,unknown,387,1,50,0,3,0,1,0,0,55,34,0,0,1
Yngvadottir,2012-04-01 17:58:00,1,0,272,3991,2901,80,327,1,0,171,96,204,98,3,0,0,0,110,unknown,1370,113,54,1,1,3,3,0,0,175,89,0,0,1
Yunshui,2012-07-23 08:06:00,1,6,106,10509,4085,132,4731,6,0,34,8,1152,42,4,0,0,0,315,male,1072,12,53,0,1,2,1,0,1,70,31,0,0,1
Zagalejo,2012-06-26 01:24:00,1,12,1318,33352,28433,167,1683,16,0,184,14,1654,339,40,0,0,0,822,male,2540,113,20,1,0,2,2,0,0,138,198,0,0,1
987li,2012-04-24 08:57:00,0,0,81,404,302,56,12,0,0,4,0,10,0,0,0,0,0,20,unknown,242,0,0,0,0,0,0,0,0,0,29,0,0,1
Anbu121,2012-12-23 14:29:00,0,6,54,16349,8583,865,4343,15,0,147,18,1079,88,57,2,0,0,1152,unknown,381,42,113,2,1,4,4,0,0,166,48,0,0,1
Apteva,2012-11-30 06:27:00,0,2,194,6031,2716,112,591,0,0,116,20,716,586,10,1,0,0,1163,unknown,1647,3,1,0,0,0,0,0,0,4,83,0,0,2
AutomaticStrikeout,2012-10-15 03:26:00,0,16,24,12513,9126,200,1778,1,0,100,10,506,291,6,23,0,0,472,male,175,14,33,0,0,0,2,0,1,50,20,0,0,1
Avicennasis,2012-05-21 06:44:00,0,6,2299,31492,18819,409,3578,19,455,914,991,811,103,3060,118,0,0,2215,male,2111,2,12,0,0,0,0,0,0,14,691,0,0,1
Baseballrocks538,2012-03-06 23:15:00,0,0,2,24,22,0,0,0,0,0,0,2,0,0,0,0,0,0,unknown,620,0,0,0,0,0,0,0,0,0,11,0,0,1
Bens dream,2012-03-10 23:34:00,0,0,0,50,16,4,8,0,0,0,0,20,0,0,0,0,0,2,unknown,1263,0,0,0,0,0,0,0,0,0,1,0,0,1
Calabe1992,2012-04-25 22:06:00,0,0,10,9215,3231,428,4392,23,0,48,1,961,11,4,0,0,0,116,male,380,2,28,0,0,0,0,0,0,30,31,0,0,2
Central Data Bank,2012-04-08 14:55:00,0,0,399,1354,1135,13,25,1,0,92,0,7,0,0,0,0,0,81,unknown,1618,0,0,0,0,0,0,0,0,0,1,0,0,1
Dannyboy1209,2012-05-14 19:04:00,0,0,6,249,80,55,51,0,0,1,0,48,1,0,0,0,0,13,male,894,0,0,0,0,0,0,0,0,0,6,0,0,1
Darkness Shines,2012-12-30 21:22:00,0,3,93,10637,3384,198,3519,4,0,60,29,1646,95,11,0,0,0,1691,unknown,543,23,80,1,0,1,2,0,0,107,18,0,0,1
Dipankan001,2012-05-17 16:58:00,0,8,45,2440,717,324,693,26,1,27,15,482,44,4,1,0,0,106,male,277,9,23,1,2,0,0,0,0,35,37,0,0,1
Distributor108,2012-04-16 13:27:00,0,0,1,327,90,0,130,0,0,0,0,44,0,0,0,0,0,63,unknown,237,0,0,0,0,0,0,0,0,0,10,0,0,1
Farrtj,2012-10-18 00:21:00,0,0,26,11801,10953,205,101,28,1,42,14,121,0,0,1,0,0,335,male,2335,0,0,0,0,0,0,0,0,0,3,0,0,1
Faustus37,2012-04-24 11:49:00,0,1,337,2129,1941,28,9,25,0,33,0,35,1,6,0,0,0,51,male,2555,41,23,0,0,8,5,0,0,77,2,0,0,1
Figureskatingfan,2012-02-13 20:59:00,0,0,26,2868,1810,195,321,15,0,12,3,147,2,0,0,0,0,363,female,1837,3,4,0,0,0,0,0,0,7,17,6,2,1
Floydian,2012-08-15 18:18:00,0,0,904,15593,7279,438,1023,182,12,449,224,1837,723,63,0,0,0,3363,male,3291,17,48,1,3,10,11,0,0,90,28,2,1,2
GabeMc,2012-04-27 07:01:00,0,0,2,3161,2078,0,523,0,0,0,16,127,3,0,0,0,0,414,male,864,6,7,0,0,0,0,0,0,13,16,2,0,1
Gigs,2012-10-16 22:06:00,0,42,45,8839,2086,131,1305,8,0,96,54,2601,1934,42,1,2,0,579,male,2579,29,147,0,0,7,2,0,0,185,38,0,0,1
GSorby,2012-02-06 05:02:00,0,0,25,1562,888,107,182,239,23,9,0,11,32,0,0,0,0,71,male,751,0,0,0,0,0,0,0,0,0,19,0,0,2
Hahc21,2012-07-07 22:49:00,0,3,66,11079,4841,1797,1151,100,1,432,34,1022,178,58,0,0,0,1465,male,1561,2,5,0,0,0,0,0,0,7,24,0,0,2
Hghyux,2012-04-20 18:14:00,0,1,1,3307,1220,137,1622,0,0,2,1,265,12,0,0,1,0,47,unknown,85,4,16,0,1,0,0,0,0,21,16,0,0,1
James1011R,2012-03-22 18:54:00,0,0,4,243,16,102,33,0,0,2,0,81,6,0,0,0,0,3,male,1135,1,7,0,1,0,0,0,0,9,18,0,0,1
