username,date_of_election,isSuccessful,votes,edit_count,year_joined,pages_created
Curtis23,2011-06-18 11:37:00,0,0,3626,2009,33
CWH,2011-07-25 15:05:00,0,0,18310,2005,34
Dayewalker,2011-11-02 23:59:00,0,0,14182,2008,8
Dudemanfellabra,2011-07-03 21:56:00,0,0,24074,2008,386
Dusti,2011-03-16 05:34:00,0,0,20997,2007,20
Dylan620,2011-04-18 16:22:00,0,0,13544,2007,33
E2eamon,2011-07-05 19:13:00,0,0,10044,2008,123
Ebikeguy,2011-05-28 22:18:00,0,0,3954,2006,4
Eduemoni,2011-03-07 18:12:00,0,0,6465,2006,19
Floydian,2011-05-05 06:41:00,0,0,29955,2003,347
GiantSnowman,2011-01-14 17:20:00,0,0,191332,2006,4062
Giftiger wunsch,2011-01-12 23:25:00,0,0,12653,2008,45
Glane23,2011-02-15 22:18:00,0,0,50105,2008,6
GSorby,2011-07-11 17:06:00,0,0,8112,2010,9
Guoguo12,2011-06-19 23:06:00,0,0,11530,2008,36
GutiLucian02,2011-02-05 20:13:00,0,0,233,2011,0
Hallows AG,2011-12-08 01:42:00,0,0,13713,2011,11
HangingCurve,2011-11-26 14:40:00,0,0,67010,2004,195
Hazard-SJ,2011-04-30 18:59:00,0,0,8413,2010,4
Inka 888,2011-03-15 08:33:00,0,0,4845,2010,10
ItsZippy,2011-10-14 23:47:00,0,0,13921,2009,5
Jéské Couriano,2011-08-24 12:22:00,0,0,24304,2006,20
Jsfouche,2011-05-30 16:31:00,0,0,14587,2007,428
Katharineamy,2011-05-07 23:24:00,0,0,122288,2006,90
Ke5crz,2011-06-03 03:20:00,0,0,1197,2005,10
Kylekieran,2011-12-29 02:19:00,0,0,6821,2009,99
Latish redone,2011-11-23 02:19:00,0,0,768,2007,26
Logan,2011-05-14 00:07:00,0,0,54055,2007,190
MacMed,2011-03-24 02:15:00,0,0,3874,2009,33
Methecooldude,2011-07-01 21:52:00,0,0,0,2014,0
Moxy,2011-05-28 08:59:00,0,0,75234,2009,64
My76Strat,2011-03-08 20:56:00,0,0,10,2013,0
N419BH,2011-05-14 20:50:00,0,0,8799,2009,10
N5iln,2011-07-15 22:50:00,0,0,32885,2006,6
Neutralhomer,2011-03-26 16:46:00,0,0,64869,2007,348
NickPenguin,2011-03-20 03:16:00,0,0,10344,2005,35
NYMets2000,2011-08-30 16:23:00,0,0,1624,2010,25
Nyswimmer,2011-02-04 20:39:00,0,0,3,2013,0
RadioFan,2011-03-06 23:35:00,0,0,93578,2005,6095
Reenem,2011-01-27 05:16:00,0,0,29553,2008,209
Rehman,2011-04-07 01:57:00,0,0,13597,2008,676
Richardcavell,2011-07-24 16:38:00,0,0,15362,2005,907
RobertMfromLI,2011-08-12 03:11:00,0,0,6429,2009,0
Slon02,2011-03-05 05:25:00,0,0,22045,2009,49
Snakenath,2011-06-07 16:48:00,0,0,33,2011,2
Snottywong,2011-02-21 22:11:00,0,0,2,2011,0
Spongefrog,2011-09-28 18:33:00,0,0,11734,2009,43
Staffwaterboy,2011-02-13 07:59:00,0,0,1,2013,0
SunCountryGuy01,2011-03-22 23:21:00,0,0,3628,2010,50
Tarheel95,2011-12-08 00:46:00,0,0,6564,2008,17
TedPavlic,2011-07-10 21:53:00,0,0,3637,2006,228
Timl2k4,2011-07-10 05:02:00,0,0,2,2013,0
Ttonyb1,2011-06-05 01:10:00,0,0,81280,2007,188
VegetaSaiyan,2011-12-08 01:07:00,0,0,676,2011,6
Wcreed88,2011-02-12 18:23:00,0,0,1790,2006,3
Who Am I Why Am I Here,2011-05-10 23:37:00,0,0,144,2011,0
WikiCopter,2011-03-07 10:18:00,0,0,4001,2010,10
Wikipedian2,2011-04-03 04:10:00,0,0,2732,2008,0
Wikispott,2011-04-24 05:46:00,0,0,68,2010,0
Wilbysuffolk,2011-04-05 05:51:00,0,0,10246,2010,23
ZooPro,2011-04-07 12:41:00,0,0,5491,2009,22
7,2010-05-29 08:07:00,1,0,34884,2007,71
Airplaneman,2010-08-18 12:26:00,1,0,39711,2008,175
AlexandrDmitri,2010-05-13 00:41:00,1,0,8535,2008,22
Amatulic,2010-08-19 23:06:00,1,0,35575,2006,63
Arsenikk,2010-05-16 11:55:00,1,0,45040,2006,3097
Barek,2010-04-17 00:33:00,1,0,70777,2006,135
BigDom,2010-08-31 09:31:00,1,0,20633,2006,1619
Blurpeace,2010-04-26 03:49:00,1,0,7772,2007,28
Bradjamesbrown,2010-05-15 22:32:00,1,0,0,2010,0
Bsadowski1,2010-07-21 22:46:00,1,0,16275,2004,3
Bwilkins,2010-01-18 21:28:00,1,0,1,2014,0
Calmer Waters,2010-01-28 15:23:00,1,0,39635,2009,156
Ceranthor,2010-04-17 17:26:00,1,0,24520,2007,121
Connormah,2010-08-26 05:43:00,1,0,86099,2006,42
Dabomb87,2010-08-16 18:23:00,1,0,66454,2007,1979
Dana boomer,2010-08-24 20:48:00,1,0,52507,2007,38
Diannaa,2010-10-21 04:25:00,1,0,141800,2009,18
Eagles247,2010-09-28 02:46:00,1,0,41896,2009,83
Elen of the Roads,2010-10-21 00:45:00,1,0,16638,2008,6
Elockid,2010-04-03 15:20:00,1,0,41728,2009,9
