@relation Data/10_clean

@attribute votes numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful numeric
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
7 , 0 , 0 , 0 , 0 , 489 , 0 , 954 , 0 , 164 , 999 , 0 , 0 , 825 , 0 , 0 , 20 , 1 , 0 , 2 , 42 , 0 , 0 , 69 , 106 , 4 , 2700
20 , 0 , 0 , 0 , 27 , 1263 , 0 , 774 , 34 , 2074 , 12659 , 0 , 0 , 1236 , 7 , 0 , 934 , 1 , 0 , 90 , 2080 , 0 , 0 , 174 , 59 , 61 , 19764
48 , 0 , 0 , 6 , 14 , 1885 , 0 , 2931 , 21 , 1084 , 5135 , 0 , 0 , 3659 , 0 , 0 , 600 , 1 , 0 , 19 , 127 , 0 , 0 , 183 , 873 , 24 , 13030
16 , 0 , 0 , 0 , 0 , 5922 , 0 , 364 , 26 , 664 , 15373 , 0 , 0 , 1474 , 0 , 0 , 61 , 1 , 0 , 2 , 56 , 0 , 0 , 46 , 145 , 5 , 23713
7 , 0 , 0 , 0 , 0 , 2214 , 0 , 1577 , 4 , 128 , 2415 , 0 , 0 , 267 , 0 , 0 , 147 , 1 , 0 , 8 , 12 , 0 , 0 , 16 , 17 , 2 , 5083
58 , 0 , 0 , 0 , 4 , 7570 , 0 , 2070 , 40 , 1461 , 7742 , 0 , 0 , 3286 , 1 , 0 , 124 , 1 , 0 , 51 , 224 , 0 , 0 , 721 , 1137 , 79 , 22316
16 , 0 , 0 , 0 , 1 , 3975 , 0 , 1865 , 6 , 1132 , 4033 , 0 , 0 , 1917 , 1 , 0 , 288 , 1 , 0 , 5 , 770 , 0 , 0 , 493 , 719 , 46 , 13098
8 , 0 , 0 , 0 , 0 , 445 , 0 , 1834 , 4 , 102 , 444 , 0 , 0 , 1025 , 14 , 0 , 87 , 1 , 0 , 0 , 25 , 0 , 0 , 161 , 122 , 2 , 2344
2 , 0 , 0 , 2 , 0 , 1029 , 0 , 1435 , 0 , 1709 , 10772 , 0 , 0 , 736 , 0 , 0 , 41 , 1 , 0 , 0 , 147 , 0 , 0 , 245 , 214 , 42 , 14896
0 , 0 , 0 , 0 , 19 , 929 , 0 , 2925 , 0 , 5066 , 13321 , 0 , 0 , 822 , 0 , 0 , 342 , 1 , 0 , 369 , 63 , 0 , 0 , 11 , 532 , 14 , 21146
2 , 0 , 0 , 1 , 0 , 3222 , 0 , 387 , 0 , 261 , 947 , 0 , 0 , 877 , 0 , 0 , 15 , 1 , 0 , 0 , 11 , 0 , 0 , 279 , 1772 , 11 , 7381
0 , 0 , 0 , 0 , 0 , 327 , 0 , 1370 , 1 , 110 , 2901 , 0 , 0 , 204 , 0 , 0 , 272 , 1 , 0 , 3 , 171 , 0 , 0 , 98 , 80 , 96 , 3991
6 , 0 , 0 , 0 , 0 , 4731 , 0 , 1072 , 6 , 315 , 4085 , 0 , 0 , 1152 , 0 , 0 , 106 , 1 , 0 , 4 , 34 , 0 , 0 , 42 , 132 , 8 , 10509
12 , 0 , 0 , 0 , 0 , 1683 , 0 , 2540 , 16 , 822 , 28433 , 0 , 0 , 1654 , 0 , 0 , 1318 , 1 , 0 , 40 , 184 , 0 , 0 , 339 , 167 , 14 , 33352
0 , 0 , 0 , 0 , 0 , 12 , 0 , 242 , 0 , 20 , 302 , 0 , 0 , 10 , 0 , 0 , 81 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 56 , 0 , 404
6 , 0 , 0 , 0 , 2 , 4343 , 0 , 381 , 15 , 1152 , 8583 , 0 , 0 , 1079 , 0 , 0 , 54 , 0 , 0 , 57 , 147 , 0 , 0 , 88 , 865 , 18 , 16349
2 , 0 , 0 , 0 , 1 , 591 , 0 , 1647 , 0 , 1163 , 2716 , 0 , 0 , 716 , 0 , 0 , 194 , 0 , 0 , 10 , 116 , 0 , 0 , 586 , 112 , 20 , 6031
16 , 0 , 0 , 0 , 23 , 1778 , 0 , 175 , 1 , 472 , 9126 , 0 , 0 , 506 , 0 , 0 , 24 , 0 , 0 , 6 , 100 , 0 , 0 , 291 , 200 , 10 , 12513
6 , 0 , 0 , 0 , 118 , 3578 , 0 , 2111 , 19 , 2215 , 18819 , 0 , 0 , 811 , 455 , 0 , 2299 , 0 , 0 , 3060 , 914 , 0 , 0 , 103 , 409 , 991 , 31492
0 , 0 , 0 , 0 , 0 , 0 , 0 , 620 , 0 , 0 , 22 , 0 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 24
0 , 0 , 0 , 0 , 0 , 8 , 0 , 1263 , 0 , 2 , 16 , 0 , 0 , 20 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 50
0 , 0 , 0 , 0 , 0 , 4392 , 0 , 380 , 23 , 116 , 3231 , 0 , 0 , 961 , 0 , 0 , 10 , 0 , 0 , 4 , 48 , 0 , 0 , 11 , 428 , 1 , 9215
0 , 0 , 0 , 0 , 0 , 25 , 0 , 1618 , 1 , 81 , 1135 , 0 , 0 , 7 , 0 , 0 , 399 , 0 , 0 , 0 , 92 , 0 , 0 , 0 , 13 , 0 , 1354
0 , 0 , 0 , 0 , 0 , 51 , 0 , 894 , 0 , 13 , 80 , 0 , 0 , 48 , 0 , 0 , 6 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 55 , 0 , 249
3 , 0 , 0 , 0 , 0 , 3519 , 0 , 543 , 4 , 1691 , 3384 , 0 , 0 , 1646 , 0 , 0 , 93 , 0 , 0 , 11 , 60 , 0 , 0 , 95 , 198 , 29 , 10637
8 , 0 , 0 , 0 , 1 , 693 , 0 , 277 , 26 , 106 , 717 , 0 , 0 , 482 , 1 , 0 , 45 , 0 , 0 , 4 , 27 , 0 , 0 , 44 , 324 , 15 , 2440
0 , 0 , 0 , 0 , 0 , 130 , 0 , 237 , 0 , 63 , 90 , 0 , 0 , 44 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 327
0 , 0 , 0 , 0 , 1 , 101 , 0 , 2335 , 28 , 335 , 10953 , 0 , 0 , 121 , 1 , 0 , 26 , 0 , 0 , 0 , 42 , 0 , 0 , 0 , 205 , 14 , 11801
1 , 0 , 0 , 0 , 0 , 9 , 0 , 2555 , 25 , 51 , 1941 , 0 , 0 , 35 , 0 , 0 , 337 , 0 , 0 , 6 , 33 , 0 , 0 , 1 , 28 , 0 , 2129
0 , 0 , 0 , 0 , 0 , 321 , 0 , 1837 , 15 , 363 , 1810 , 0 , 0 , 147 , 0 , 0 , 26 , 0 , 0 , 0 , 12 , 0 , 0 , 2 , 195 , 3 , 2868
0 , 0 , 0 , 0 , 0 , 1023 , 0 , 3291 , 182 , 3363 , 7279 , 0 , 0 , 1837 , 12 , 0 , 904 , 0 , 0 , 63 , 449 , 0 , 0 , 723 , 438 , 224 , 15593
0 , 0 , 0 , 0 , 0 , 523 , 0 , 864 , 0 , 414 , 2078 , 0 , 0 , 127 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 16 , 3161
42 , 0 , 0 , 2 , 1 , 1305 , 0 , 2579 , 8 , 579 , 2086 , 0 , 0 , 2601 , 0 , 0 , 45 , 0 , 0 , 42 , 96 , 0 , 0 , 1934 , 131 , 54 , 8839
0 , 0 , 0 , 0 , 0 , 182 , 0 , 751 , 239 , 71 , 888 , 0 , 0 , 11 , 23 , 0 , 25 , 0 , 0 , 0 , 9 , 0 , 0 , 32 , 107 , 0 , 1562
3 , 0 , 0 , 0 , 0 , 1151 , 0 , 1561 , 100 , 1465 , 4841 , 0 , 0 , 1022 , 1 , 0 , 66 , 0 , 0 , 58 , 432 , 0 , 0 , 178 , 1797 , 34 , 11079
1 , 0 , 0 , 1 , 0 , 1622 , 0 , 85 , 0 , 47 , 1220 , 0 , 0 , 265 , 0 , 0 , 1 , 0 , 0 , 0 , 2 , 0 , 0 , 12 , 137 , 1 , 3307
0 , 0 , 0 , 0 , 0 , 33 , 0 , 1135 , 0 , 3 , 16 , 0 , 0 , 81 , 0 , 0 , 4 , 0 , 0 , 0 , 2 , 0 , 0 , 6 , 102 , 0 , 243
