@relation ../Data/13_accounts

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
4 , 6 , 0 , 0 , 0 , 0 , 2403 , 0 , 1266 , 1 , 1738 , 12167 , 0 , 43 , 0 , 2984 , 0 , 0 , 6 , 1 , 3 , 2 , 5 , 0 , 40 , 140 , 70 , 38 , 19548
6 , 22 , 0 , 1 , 0 , 1 , 6131 , 0 , 1677 , 10 , 2031 , 9748 , 1 , 38 , 0 , 1365 , 0 , 1 , 23 , 1 , 8 , 5 , 62 , 0 , 27 , 163 , 725 , 25 , 20266
6 , 48 , 3 , 2 , 4 , 184 , 4175 , 0 , 2750 , 86 , 104667 , 86157 , 2 , 188 , 0 , 1901 , 6 , 5 , 60 , 1 , 14 , 31 , 48 , 1 , 164 , 217 , 2181 , 35 , 199695
1 , 63 , 0 , 0 , 0 , 1 , 2460 , 0 , 2495 , 188 , 1396 , 6059 , 0 , 25 , 0 , 2789 , 0 , 0 , 760 , 1 , 9 , 20 , 2709 , 0 , 16 , 248 , 548 , 482 , 16900
0 , 3 , 0 , 5 , 0 , 15 , 3596 , 0 , 1832 , 61 , 822 , 8393 , 8 , 156 , 0 , 1254 , 10 , 9 , 291 , 1 , 30 , 39 , 225 , 9 , 95 , 130 , 112 , 89 , 14746
2 , 38 , 0 , 0 , 0 , 2 , 628 , 0 , 1639 , 0 , 449 , 608 , 8 , 116 , 0 , 289 , 2 , 7 , 79 , 1 , 41 , 5 , 24 , 4 , 56 , 76 , 59 , 2 , 2144
0 , 43 , 0 , 1 , 0 , 9 , 537 , 0 , 1994 , 340 , 1400 , 59937 , 1 , 40 , 0 , 132 , 0 , 1 , 926 , 1 , 36 , 1893 , 230 , 0 , 1 , 51 , 3957 , 39 , 68525
1 , 77 , 0 , 0 , 0 , 76 , 708 , 0 , 2065 , 16 , 373 , 4683 , 7 , 121 , 2 , 327 , 0 , 10 , 1235 , 1 , 36 , 479 , 57 , 1 , 65 , 49 , 88 , 15 , 6871
0 , 54 , 0 , 0 , 0 , 23 , 480 , 0 , 2161 , 0 , 300 , 3156 , 5 , 193 , 0 , 645 , 0 , 4 , 5493 , 1 , 32 , 17 , 142 , 0 , 152 , 235 , 37 , 43 , 5078
2 , 41 , 0 , 0 , 0 , 32 , 582 , 0 , 2531 , 23 , 4605 , 8496 , 1 , 48 , 0 , 1097 , 7 , 3 , 513 , 1 , 13 , 93 , 427 , 0 , 31 , 379 , 1978 , 412 , 18131
