@relation ../Data/13/2006

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
316 , 2 , 0 , 0 , 0 , 2 , 587 , 0 , 1138 , 14 , 206 , 3112 , 1 , 179 , 4 , 889 , 1 , 7 , 55 , 1 , 4 , 43 , 31 , 0 , 163 , 57 , 134 , 15 , 5091
0 , 1 , 0 , 0 , 0 , 0 , 490 , 0 , 4 , 6 , 149 , 300 , 0 , 86 , 0 , 1227 , 0 , 0 , 3 , 1 , 0 , 0 , 5 , 0 , 86 , 74 , 52 , 2 , 2305
0 , 2 , 0 , 0 , 0 , 2 , 343 , 0 , 623 , 2 , 206 , 2101 , 0 , 7 , 0 , 202 , 0 , 1 , 120 , 1 , 2 , 8 , 9 , 0 , 4 , 10 , 79 , 0 , 2962
1 , 3 , 0 , 0 , 0 , 2 , 658 , 0 , 164 , 0 , 265 , 2556 , 2 , 107 , 1 , 352 , 0 , 4 , 26 , 1 , 9 , 45 , 3 , 2 , 89 , 13 , 115 , 0 , 4009
0 , 2 , 0 , 0 , 0 , 1 , 104 , 0 , 544 , 0 , 297 , 1779 , 0 , 20 , 0 , 907 , 0 , 5 , 579 , 1 , 6 , 11 , 11 , 0 , 9 , 22 , 28 , 6 , 3166
34 , 4 , 0 , 0 , 1 , 1 , 8659 , 0 , 309 , 15 , 3055 , 20757 , 2 , 196 , 0 , 3684 , 0 , 2 , 971 , 1 , 6 , 60 , 298 , 5 , 181 , 55 , 618 , 50 , 37253
5 , 3 , 0 , 1 , 0 , 0 , 371 , 0 , 558 , 0 , 305 , 406 , 6 , 118 , 1 , 226 , 0 , 13 , 50 , 1 , 22 , 0 , 0 , 1 , 74 , 31 , 14 , 2 , 1355
95 , 5 , 0 , 0 , 0 , 0 , 1006 , 0 , 369 , 2 , 173 , 1331 , 0 , 38 , 0 , 1587 , 0 , 0 , 33 , 1 , 2 , 2 , 15 , 0 , 36 , 88 , 46 , 59 , 4309
29 , 5 , 0 , 0 , 1 , 0 , 987 , 0 , 374 , 3 , 122 , 1597 , 1 , 5 , 0 , 954 , 0 , 0 , 66 , 1 , 2 , 5 , 81 , 0 , 2 , 23 , 319 , 18 , 4110
9 , 2 , 0 , 0 , 0 , 5 , 236 , 0 , 156 , 31 , 261 , 1710 , 1 , 124 , 0 , 765 , 0 , 2 , 87 , 1 , 15 , 37 , 7 , 0 , 106 , 93 , 65 , 8 , 3218
1 , 7 , 0 , 0 , 1 , 9 , 162 , 0 , 590 , 0 , 309 , 2714 , 5 , 139 , 0 , 803 , 0 , 2 , 2265 , 1 , 14 , 15 , 11 , 0 , 118 , 85 , 121 , 7 , 4237
5 , 1 , 0 , 0 , 0 , 0 , 1607 , 0 , 297 , 29 , 189 , 1838 , 0 , 39 , 1 , 770 , 0 , 4 , 50 , 1 , 11 , 7 , 14 , 1 , 22 , 37 , 152 , 5 , 4648
0 , 6 , 0 , 0 , 0 , 1 , 83 , 0 , 1932 , 4 , 110 , 3013 , 0 , 5 , 0 , 142 , 0 , 1 , 307 , 1 , 2 , 2 , 4 , 0 , 2 , 20 , 26 , 2 , 3407
24 , 1 , 0 , 0 , 0 , 9 , 8390 , 0 , 157 , 0 , 956 , 2208 , 1 , 192 , 0 , 485 , 0 , 13 , 32 , 1 , 57 , 2 , 4 , 8 , 113 , 34 , 266 , 4 , 12358
0 , 2 , 0 , 0 , 0 , 0 , 790 , 0 , 213 , 0 , 79 , 1483 , 5 , 119 , 1 , 332 , 0 , 5 , 39 , 1 , 13 , 13 , 10 , 1 , 94 , 5 , 239 , 0 , 2951
28 , 20 , 0 , 0 , 0 , 0 , 491 , 0 , 483 , 1 , 134 , 1724 , 10 , 109 , 0 , 1264 , 0 , 5 , 90 , 1 , 22 , 6 , 56 , 1 , 71 , 111 , 58 , 6 , 3851
28 , 8 , 0 , 0 , 0 , 5 , 1514 , 1 , 101 , 6 , 236 , 1342 , 3 , 109 , 1 , 499 , 0 , 2 , 6 , 1 , 15 , 17 , 13 , 33 , 54 , 88 , 106 , 3 , 3829
62 , 3 , 0 , 1 , 0 , 24 , 1458 , 0 , 328 , 49 , 467 , 607 , 0 , 137 , 0 , 1063 , 0 , 7 , 84 , 1 , 25 , 13 , 97 , 0 , 104 , 836 , 239 , 200 , 5053
3 , 2 , 0 , 1 , 0 , 0 , 72 , 0 , 583 , 0 , 134 , 501 , 2 , 110 , 1 , 127 , 2 , 5 , 61 , 1 , 24 , 3 , 6 , 1 , 76 , 26 , 34 , 0 , 905
1 , 1 , 0 , 0 , 0 , 0 , 58 , 0 , 838 , 2 , 279 , 229 , 1 , 35 , 1 , 112 , 0 , 1 , 147 , 1 , 8 , 0 , 0 , 0 , 24 , 29 , 81 , 0 , 790
24 , 12 , 0 , 2 , 0 , 0 , 2299 , 0 , 522 , 59 , 121 , 5098 , 1 , 163 , 0 , 955 , 0 , 0 , 15 , 1 , 14 , 12 , 15 , 32 , 114 , 65 , 1051 , 1 , 9676
0 , 8 , 0 , 0 , 0 , 4 , 1389 , 0 , 547 , 15 , 142 , 9712 , 0 , 16 , 0 , 1183 , 0 , 5 , 26 , 1 , 3 , 23 , 823 , 0 , 8 , 453 , 318 , 840 , 14902
1 , 2 , 0 , 0 , 0 , 7 , 358 , 0 , 452 , 6 , 340 , 1607 , 0 , 0 , 0 , 440 , 7 , 0 , 149 , 1 , 0 , 54 , 14 , 0 , 0 , 135 , 155 , 12 , 3135
10 , 1 , 0 , 1 , 0 , 1 , 707 , 3 , 314 , 3 , 258 , 745 , 1 , 52 , 0 , 249 , 0 , 2 , 118 , 1 , 7 , 1 , 3 , 0 , 38 , 123 , 65 , 2 , 2157
31 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 2418 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
7 , 3 , 0 , 0 , 2 , 0 , 3102 , 0 , 87 , 1 , 412 , 5630 , 0 , 31 , 0 , 1117 , 1 , 3 , 18 , 1 , 6 , 15 , 54 , 1 , 21 , 37 , 648 , 2 , 11021
0 , 3 , 0 , 1 , 0 , 0 , 655 , 0 , 96 , 0 , 190 , 1706 , 3 , 171 , 0 , 323 , 1 , 2 , 59 , 1 , 16 , 2 , 4 , 10 , 139 , 16 , 94 , 5 , 2996
8 , 3 , 0 , 0 , 0 , 0 , 802 , 0 , 517 , 2 , 231 , 1429 , 4 , 112 , 0 , 811 , 0 , 3 , 90 , 1 , 34 , 12 , 140 , 0 , 71 , 130 , 89 , 13 , 3659
2 , 1 , 0 , 0 , 0 , 0 , 127 , 0 , 350 , 7 , 41 , 2788 , 0 , 13 , 0 , 104 , 0 , 1 , 274 , 1 , 4 , 5 , 24 , 0 , 8 , 0 , 49 , 5 , 3150
0 , 12 , 0 , 1 , 0 , 0 , 775 , 0 , 196 , 1 , 47 , 679 , 5 , 170 , 3 , 486 , 0 , 12 , 20 , 1 , 29 , 3 , 6 , 4 , 116 , 17 , 215 , 2 , 2231
1 , 1 , 0 , 0 , 0 , 0 , 724 , 0 , 499 , 89 , 83 , 263 , 2 , 48 , 0 , 215 , 0 , 1 , 117 , 1 , 9 , 4 , 16 , 0 , 36 , 101 , 165 , 7 , 1667
88 , 1 , 0 , 2 , 0 , 1 , 569 , 0 , 167 , 7 , 15 , 978 , 2 , 158 , 0 , 496 , 2 , 5 , 11 , 1 , 22 , 1 , 5 , 19 , 108 , 18 , 72 , 0 , 2164
7 , 2 , 0 , 2 , 0 , 0 , 283 , 0 , 430 , 9 , 238 , 1417 , 6 , 190 , 0 , 1737 , 0 , 5 , 115 , 1 , 32 , 9 , 11 , 3 , 142 , 53 , 118 , 5 , 3880
9 , 1 , 0 , 0 , 0 , 0 , 268 , 0 , 177 , 152 , 84 , 613 , 7 , 181 , 4 , 394 , 0 , 5 , 34 , 1 , 11 , 6 , 156 , 1 , 153 , 138 , 305 , 10 , 2126
0 , 13 , 0 , 1 , 0 , 10 , 533 , 0 , 117 , 9 , 58 , 3183 , 11 , 174 , 0 , 1282 , 0 , 3 , 200 , 1 , 50 , 213 , 4 , 1 , 108 , 96 , 63 , 6 , 5457
0 , 3 , 0 , 1 , 0 , 9 , 1976 , 0 , 383 , 10 , 1467 , 7443 , 7 , 184 , 0 , 2160 , 0 , 5 , 512 , 1 , 36 , 671 , 79 , 3 , 132 , 124 , 301 , 73 , 14313
2 , 1 , 0 , 0 , 0 , 0 , 1306 , 0 , 724 , 7 , 185 , 1122 , 1 , 135 , 0 , 350 , 0 , 1 , 17 , 1 , 4 , 3 , 2 , 4 , 125 , 26 , 104 , 1 , 3106
12 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
4 , 1 , 0 , 1 , 0 , 0 , 182 , 0 , 131 , 6 , 534 , 2261 , 3 , 144 , 0 , 686 , 0 , 4 , 14 , 1 , 44 , 0 , 0 , 2 , 90 , 91 , 9 , 0 , 3769
0 , 3 , 0 , 0 , 0 , 0 , 933 , 0 , 166 , 12 , 203 , 3876 , 1 , 97 , 0 , 910 , 0 , 4 , 45 , 1 , 17 , 2 , 82 , 5 , 70 , 69 , 359 , 5 , 6451
99 , 1 , 0 , 1 , 0 , 12 , 1878 , 0 , 162 , 0 , 1124 , 3782 , 3 , 196 , 0 , 1276 , 0 , 11 , 44 , 1 , 16 , 7 , 7 , 1 , 164 , 186 , 53 , 32 , 8357
1 , 1 , 0 , 0 , 0 , 63 , 349 , 0 , 461 , 0 , 151 , 15607 , 0 , 14 , 0 , 2580 , 0 , 3 , 253 , 1 , 10 , 4889 , 626 , 0 , 1 , 130 , 1227 , 2 , 25624
0 , 1 , 0 , 0 , 0 , 6 , 152 , 0 , 859 , 2 , 211 , 14019 , 1 , 23 , 0 , 314 , 0 , 1 , 532 , 1 , 12 , 310 , 60 , 0 , 9 , 7 , 207 , 9 , 15297
23 , 5 , 0 , 1 , 0 , 0 , 1207 , 0 , 357 , 3 , 110 , 2032 , 0 , 7 , 0 , 587 , 4 , 0 , 8 , 1 , 1 , 6 , 106 , 0 , 5 , 116 , 1233 , 44 , 5448
3 , 1 , 0 , 0 , 0 , 1 , 113 , 0 , 739 , 6 , 108 , 2536 , 0 , 20 , 0 , 22 , 0 , 1 , 1708 , 1 , 8 , 0 , 6 , 0 , 11 , 15 , 21 , 0 , 2828
17 , 1 , 0 , 2 , 0 , 2 , 2148 , 0 , 234 , 1 , 149 , 2924 , 10 , 150 , 3 , 1208 , 0 , 3 , 126 , 1 , 19 , 21 , 103 , 14 , 99 , 22 , 355 , 13 , 6946
1 , 2 , 0 , 0 , 0 , 5 , 460 , 0 , 682 , 0 , 437 , 1951 , 0 , 70 , 0 , 416 , 0 , 1 , 165 , 1 , 9 , 11 , 11 , 0 , 60 , 34 , 106 , 16 , 3447
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
10 , 1 , 0 , 4 , 0 , 0 , 292 , 0 , 425 , 18 , 256 , 1053 , 9 , 192 , 0 , 76 , 0 , 14 , 132 , 1 , 161 , 22 , 24 , 0 , 4 , 4 , 61 , 1 , 1807
14 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
46 , 2 , 0 , 0 , 0 , 42 , 810 , 0 , 462 , 17 , 817 , 2824 , 12 , 155 , 0 , 1549 , 0 , 24 , 221 , 1 , 28 , 29 , 59 , 3 , 88 , 769 , 262 , 40 , 7218
14 , 1 , 0 , 0 , 0 , 0 , 460 , 0 , 524 , 3 , 94 , 1031 , 0 , 3 , 0 , 397 , 0 , 0 , 24 , 1 , 2 , 5 , 2 , 0 , 1 , 250 , 101 , 2 , 2345
9 , 2 , 0 , 0 , 0 , 5 , 295 , 0 , 336 , 0 , 554 , 919 , 0 , 31 , 0 , 1140 , 0 , 4 , 25 , 1 , 8 , 32 , 78 , 0 , 19 , 258 , 361 , 4 , 3646
