@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14-17,21-26,29-30,32-34,36-41'

@attribute sp_keep_votes numeric
@attribute userfy_votes numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute isSuccessful {1,0}
@attribute keep_votes numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric

@data
3,0,7,166,0,1,54,7,86
0,0,33,181,0,1,38,0,88
0,0,0,0,0,1,0,0,0
1,0,1,111,0,1,35,2,70
0,4,2,53,0,1,10,0,31
0,0,0,34,0,1,13,0,10
0,0,4,119,0,1,20,4,85
1,0,3,152,0,1,8,7,124
0,0,2,76,0,1,5,1,67
0,0,0,20,0,1,7,0,13
0,1,2,134,0,1,43,0,68
1,0,1,88,0,1,32,12,41
0,0,1,23,0,1,5,1,16
0,0,0,22,0,1,5,0,16
0,0,0,0,0,1,0,0,0
0,0,0,19,0,1,0,0,19
0,0,1,150,1,1,112,0,14
3,0,2,101,0,1,72,0,21
0,0,5,83,0,1,16,2,59
0,0,0,21,0,1,0,0,21
0,0,0,29,0,1,4,0,25
0,1,0,44,0,1,6,0,37
0,0,0,17,0,1,3,0,14
0,0,0,26,0,1,5,0,21
0,0,0,90,0,1,4,1,84
2,0,0,61,0,1,8,0,48
0,0,1,37,0,1,11,0,24
0,0,0,36,0,1,12,1,20
0,0,0,1,0,1,1,0,0
0,0,1,42,0,1,10,1,29
0,0,4,45,0,1,20,0,15
0,0,0,0,0,1,0,0,0
4,0,0,61,0,1,26,0,26
0,0,0,50,1,1,6,1,40
0,0,0,95,0,1,25,0,62
0,0,3,43,0,1,11,0,28
0,0,0,14,0,0,4,0,10
0,0,0,1,0,0,0,0,1
0,0,3,188,1,0,16,6,156
0,0,0,17,0,0,1,0,15
1,0,4,129,1,0,31,3,82
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,12,0,0,10,0,2
0,0,0,1,0,0,1,0,0
0,0,0,6,0,0,3,0,2
1,0,2,59,0,0,5,5,46
0,0,0,1,0,0,0,0,1
0,0,0,13,0,0,5,0,7
0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,7,1,39
2,0,3,49,1,0,6,3,33
0,0,0,107,0,0,0,0,107
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,15,0,0,5,0,9
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,33,0,0,6,0,27
0,0,0,6,0,0,1,0,3
0,0,0,115,0,1,6,5,101
0,0,0,24,0,1,5,0,15
0,0,0,78,0,1,6,0,65
0,0,3,95,0,1,16,4,62
0,0,0,1,0,1,1,0,0
0,0,0,7,0,1,1,0,6
0,0,0,4,0,1,0,0,4
0,0,0,0,0,1,0,0,0
0,0,4,58,0,1,4,2,44
0,0,1,144,0,1,3,23,117
0,0,1,11,0,1,2,0,8
0,0,2,62,0,1,5,0,53
0,0,3,118,0,1,12,6,88
0,0,1,23,0,1,15,0,7
0,0,0,6,0,1,1,0,5
0,0,0,14,0,1,5,0,6
0,0,0,17,1,1,3,2,10
1,0,0,33,0,1,31,0,1
1,0,2,98,0,1,43,1,47
1,0,3,197,0,1,28,2,158
0,0,5,84,0,1,24,0,46
0,0,0,20,0,1,3,0,17
0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,0,0
0,0,3,185,0,1,40,0,116
2,0,7,93,0,1,13,3,51
0,0,0,0,0,1,0,0,0
2,0,0,92,0,1,82,0,8
0,0,2,11,0,1,0,0,9
3,1,2,163,0,1,59,0,97
0,0,3,67,0,1,16,2,41
0,0,0,0,0,1,0,0,0
2,0,7,141,0,1,16,0,96
0,0,0,82,1,1,8,9,59
0,3,7,181,1,1,112,0,53
4,0,2,76,1,1,30,0,37
0,0,0,93,0,1,3,2,88
0,0,0,70,0,1,4,1,65
0,0,0,0,0,1,0,0,0
0,0,0,5,0,1,1,0,4
0,1,2,192,0,1,40,5,134
0,0,0,36,0,1,17,1,17
1,0,0,44,0,1,17,0,26
6,0,0,39,0,1,1,3,27
0,0,1,142,0,1,3,0,136
2,0,1,130,0,1,47,1,76
0,0,4,196,0,1,22,2,157
0,0,0,11,0,1,3,1,6
0,0,0,0,0,1,0,0,0
10,0,2,172,0,1,97,1,50
0,0,0,127,0,1,43,1,80
0,0,1,18,0,1,4,1,12
0,0,0,10,0,1,0,0,10
0,0,17,193,0,1,46,0,125
0,0,0,75,0,1,2,1,72
0,0,9,149,0,1,22,1,108
0,0,1,187,0,1,14,3,156
0,0,0,0,0,1,0,0,0
0,0,2,144,0,1,16,2,122
0,0,3,14,0,1,1,0,3
0,1,0,36,0,1,9,1,12
0,0,2,100,0,1,28,0,66
0,0,0,21,0,1,1,0,13
0,0,0,7,0,1,0,0,7
1,0,1,132,0,1,38,0,90
0,0,0,1,0,1,1,0,0
1,0,0,48,0,1,11,0,35
0,0,2,21,0,1,3,0,15
0,0,2,105,0,1,12,0,78
0,0,3,127,0,1,35,4,80
0,0,0,19,0,1,0,0,19
0,0,0,17,0,1,3,1,13
0,0,0,0,0,1,0,0,0
0,0,0,23,0,1,2,0,20
0,0,0,0,0,1,0,0,0
3,0,1,179,0,1,26,8,138
1,0,2,151,0,1,41,2,104
0,0,0,41,0,1,7,1,32
0,0,1,48,0,1,6,2,32
1,0,0,156,0,1,52,2,98
1,0,8,156,2,1,23,4,109
0,0,0,10,0,1,0,0,10
3,0,1,21,0,1,10,0,5
0,0,0,5,0,0,4,0,1
1,0,0,59,2,0,3,2,51
0,0,0,0,0,0,0,0,0
1,0,5,155,0,0,15,6,122
0,0,0,3,0,0,2,0,1
0,0,0,25,0,0,2,4,18
0,0,0,0,0,0,0,0,0
5,0,6,167,1,0,22,3,118
1,0,1,106,0,0,7,2,90
0,0,1,20,0,0,7,0,12
0,0,0,3,0,0,2,0,1
0,0,0,3,0,0,2,0,1
1,0,0,39,0,0,17,0,21
2,0,0,193,0,0,42,34,113
0,0,1,7,0,0,2,0,4
0,0,0,0,0,0,0,0,0
1,0,0,17,0,0,10,2,4
1,0,5,175,3,0,30,8,120
0,0,0,2,0,0,1,0,1
0,0,0,0,0,0,0,0,0
3,0,7,166,0,0,54,7,86
3,0,0,79,0,0,12,2,58
0,0,1,17,0,0,2,1,11
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,9,183,2,0,21,0,144
0,0,0,192,0,0,19,1,168
0,0,0,18,1,0,8,0,8
1,0,1,156,0,0,123,0,16
1,0,3,181,1,0,92,0,63
1,0,0,60,0,0,10,3,45
0,0,0,1,0,0,0,0,1
1,0,0,15,0,0,6,0,8
0,0,0,0,0,0,0,0,0
1,1,0,185,0,0,4,3,176
0,0,1,14,0,0,4,1,8
0,0,0,1,0,0,0,0,1
0,0,0,21,0,0,0,0,21
0,0,0,0,0,0,0,0,0
0,0,1,25,0,0,9,1,12
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,17,0,0,6,0,7
3,0,4,67,1,0,10,3,40
0,0,0,5,0,0,1,0,3
0,0,0,3,0,0,2,0,1
0,0,0,9,1,0,1,0,6
0,0,0,8,0,0,1,0,7
0,0,3,190,0,0,34,0,150
0,0,0,0,0,0,0,0,0
1,0,1,195,0,0,30,6,153
0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,1,5
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2,31,0,0,3,0,25
0,0,0,1,0,0,1,0,0
1,1,0,81,0,0,39,0,30
0,1,5,35,0,0,4,0,25
0,0,0,2,0,0,1,0,1
0,0,1,184,0,0,18,6,154
0,0,6,122,0,0,20,4,86
0,0,0,23,0,0,6,0,16
0,0,2,199,0,0,189,0,8
0,0,0,7,0,0,1,0,5
0,0,0,31,0,0,2,0,27
0,0,0,2,0,0,0,0,1
2,0,5,43,1,0,5,5,24
0,0,0,25,1,0,6,0,16
0,0,0,1,0,0,0,0,1
0,0,0,23,0,0,2,0,19
2,0,3,96,0,0,30,0,52
0,0,0,0,0,0,0,0,0
0,0,1,23,0,0,2,0,18
1,0,2,123,0,0,28,14,72
0,0,0,1,0,0,0,0,1
0,0,0,16,0,0,3,0,13
7,0,0,193,0,0,176,0,8
0,0,0,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0
6,0,8,162,0,0,118,4,17
2,1,4,193,1,0,25,19,135
0,0,0,1,0,0,0,0,1
0,0,0,2,0,0,0,0,1
0,1,0,79,0,0,45,2,29
0,0,0,5,0,0,2,0,3
0,0,0,0,0,0,0,0,0
3,0,3,194,0,0,18,16,150
1,0,1,48,0,1,19,3,24
0,0,2,56,0,1,8,0,46
2,0,1,181,0,1,24,7,144
1,0,1,130,0,1,50,0,76
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,113,0,0,8,2,102
0,0,0,0,0,0,0,0,0
0,0,0,29,1,0,12,0,14
1,1,1,109,0,0,9,1,95
0,0,1,9,0,0,6,0,2
0,0,4,87,0,0,10,3,69
0,0,1,114,0,1,14,7,90
0,1,4,167,0,1,55,2,96
0,0,1,47,0,1,8,5,32
0,0,6,183,0,1,20,2,142
0,0,1,36,0,1,11,4,18
1,0,6,188,0,1,59,2,103
0,0,1,20,0,1,3,0,13
2,0,0,84,0,1,8,4,62
0,0,0,1,0,1,0,0,1
0,0,2,36,0,1,9,0,23
0,0,0,29,0,1,6,0,20
0,0,9,191,0,1,15,0,152
0,0,1,17,0,1,4,0,11
0,0,0,9,0,1,2,0,5
0,0,0,37,0,1,2,0,34
0,0,0,39,0,1,1,0,38
2,0,3,119,0,1,21,0,90
7,0,3,113,0,1,33,4,63
1,0,0,40,0,1,8,1,29
0,0,8,72,0,1,20,0,42
0,0,0,29,0,1,1,1,27
1,0,3,61,0,1,24,0,30
0,0,19,124,1,1,16,0,73
0,0,0,72,1,1,8,3,59
2,0,3,130,0,1,77,0,40
0,0,0,0,0,1,0,0,0
1,0,9,189,0,1,11,7,155
