@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R2-11,13-26,28-32,34-40'

@attribute revert_edits numeric
@attribute minor_edits numeric
@attribute isSuccessful {1,0}
@attribute nonminor_edits numeric
@attribute large_edits numeric

@data
1026,1810,0,2936,511
85,294,0,1164,177
0,896,0,43,2
10,1140,0,2934,340
0,1,0,1,0
0,190,0,1967,70
347,576,1,4273,1095
111,3011,1,2717,795
378,1396,1,6386,2687
318,1461,1,5542,1053
25,207,1,2571,446
0,0,0,0,0
10,95,0,1542,243
0,141,0,81,12
121,2910,0,10981,2510
6,379,0,1174,150
48,725,0,1789,318
16,390,0,3175,416
155,5766,1,2355,678
250,981,1,6345,2770
79,549,1,8760,1192
489,961,1,10201,1498
109,2925,1,6013,2101
185,353,1,66257,4628
66,1119,1,3708,2226
1059,9736,1,27898,4072
574,4255,1,15764,4110
327,2113,1,9428,2534
122,2536,1,2696,500
289,1406,1,9192,2288
1042,473,1,13740,1423
66,2321,1,898,280
62,4545,1,7755,3800
576,1388,1,4754,1509
19,1104,1,3168,1757
248,2100,1,4278,1048
37,585,1,2464,906
20,1166,1,5810,1138
122,2699,1,5494,1628
81,2721,1,3675,1110
187,185,1,6586,757
87,1062,1,3031,731
737,2510,1,18292,2317
7,3,1,41,8
443,16365,1,16038,2039
209,6060,1,9179,1028
98,709,1,2641,860
62,509,1,4286,1136
180,8417,1,2858,1104
77,909,1,4134,1526
61,3707,1,4676,1087
793,1028,1,6683,1136
11,562,1,5291,194
527,888,1,17717,1687
51,3774,1,11019,1584
0,0,1,0,0
147,919,1,5531,1546
46,2570,1,1554,986
345,1845,1,4296,856
31,350,1,2496,572
233,1611,1,5109,950
74,1028,1,1902,613
1168,6050,1,5070,923
0,64919,1,1308,209
770,5699,1,7254,1856
457,1239,1,8102,1543
8,3684,1,2599,255
40,4641,1,1406,324
207,780,1,6210,687
49,2328,1,3074,1296
120,1893,1,6269,2136
284,360,1,2446,501
335,2520,1,10187,3771
599,613,1,5418,1352
1429,1209,1,11083,3191
162,2490,1,3756,1006
40,858,1,8856,2130
127,714,1,7806,678
9,6542,1,1882,725
0,0,1,0,0
152,1498,1,7773,1456
19,6797,1,5550,3262
106,2385,1,7761,1230
43,894,1,3401,1084
55,5551,1,5123,2058
792,3348,1,7741,2764
0,0,1,0,0
124,848,1,4673,1490
35,5586,1,1079,361
399,682,1,4080,1103
2445,3042,1,11914,1234
149,1337,1,18955,4502
125,2410,1,6038,2391
313,5873,1,2703,1187
130,401,1,3516,1001
14,420,1,2629,560
171,3889,1,3534,1422
0,0,1,0,0
90,5140,1,7078,2506
902,785,1,3685,1237
17,3189,1,1593,747
124,774,1,10951,827
368,31,1,7797,1061
58,4324,1,2993,1848
525,2270,1,6610,1351
492,19486,1,16339,12758
231,3161,1,31715,4830
200,4268,1,6775,4049
793,2074,1,10519,2409
91,1603,1,9052,2907
184,544,1,2215,489
739,2554,1,7941,2448
235,1305,1,3336,1485
248,5311,1,14307,4101
1550,3420,1,20657,4724
2136,6406,1,65334,12091
0,0,1,0,0
825,2138,1,16801,5460
288,534,1,7808,1070
428,666,1,6201,583
195,1413,1,6338,2415
159,1428,1,3005,731
159,5853,1,5083,3207
115,609,1,3435,581
135,4137,1,11694,1903
50,3022,1,1397,196
76,253,1,2444,653
812,752,1,4869,1025
248,4064,1,5921,2171
161,395,1,8778,1356
29,1488,1,17802,2881
621,5108,1,2990,572
43,4472,1,1633,350
156,489,1,1742,431
48,493,1,4968,772
145,17348,1,937,241
558,1424,1,4754,1209
121,1749,1,4089,2695
0,0,1,0,0
761,119,1,4065,913
109,1243,1,5298,1017
35,291,1,2343,693
60,1335,1,7462,1988
33,3478,1,2214,1339
2051,9345,1,9542,5351
981,335,1,3550,561
17,1470,1,5621,1180
15,1183,1,3707,751
10,39,0,542,157
47,127,0,599,55
26,33,0,213,106
501,24,0,4552,265
147,20,0,1896,250
22,96,0,61,6
36,51,0,341,66
0,3,0,426,36
463,211,0,3094,537
120,362,0,589,38
338,869,0,2205,543
15,886,0,865,276
23,1159,0,5209,670
12,287,0,3162,477
0,0,0,1,1
1,103,0,702,271
2,10,0,64,7
4,46,0,326,15
100,2053,0,1090,238
3,523,0,2577,148
1396,33,0,3843,962
31,297,0,1671,522
0,487,0,4,1
9,265,0,3211,395
1,4,0,15,1
11,0,0,511,19
8,502,0,2504,512
358,1171,0,5199,389
136,803,0,5042,1282
13,42,0,838,72
4,43,0,341,25
0,35,0,5,2
2,26,0,604,41
47,582,0,740,439
1,127,0,78,8
423,296,0,12214,944
5,698,0,3173,343
48,301,0,1598,520
0,0,0,148,9
13,153,0,316,162
54,64,0,982,113
0,14,0,571,28
680,1373,0,8200,889
7,0,0,46,3
0,0,0,0,0
35,924,0,1037,354
87,268,0,1781,338
0,0,0,0,0
8,1,0,57,8
1,186,0,11,1
79,169,0,3567,571
34,3326,0,3082,557
93,264,0,750,199
30,942,0,2687,327
486,1787,0,3410,578
0,1,0,90,14
29,1154,0,1613,610
0,0,0,0,0
1460,1613,0,4819,695
5,1,0,82,6
83,1984,0,2006,517
0,2,0,194,18
8,34,0,633,108
83,2191,0,7847,983
0,0,0,0,0
0,0,0,7,2
0,0,0,0,0
42,280,0,1400,204
0,0,0,0,0
52,506,0,957,406
124,1203,1,8477,683
85,973,1,4597,1918
158,25903,1,87489,3687
0,32,0,937,222
14,27,0,206,26
122,1555,0,904,273
150,3043,0,4670,2659
55,1449,0,1395,1090
6,4,0,516,27
328,2199,0,3250,1288
401,4193,0,9005,2058
211,216,0,3850,712
9184,105122,0,204859,82567
48,357,0,5472,778
48,357,0,5488,780
1,970,0,2072,200
581,2215,0,6480,2584
98,436,0,753,416
78,3240,0,6365,2754
936,12926,0,41750,26675
26,686,0,1598,801
336,1125,0,4396,1112
111,6205,0,7197,723
347,356,0,814,81
415,1507,0,7512,1710
