@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1,3-7,9-13,15-18,20-25,28-31,33-35,37-39,41'

@attribute accounts numeric
@attribute votes numeric
@attribute days_active numeric
@attribute total_afd_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1,0}
@attribute edits_per_day numeric
@attribute images_uploaded numeric
@attribute total_edits numeric

@data
71,6,744,22,25,1,4.1,0,3122
15,0,0,0,0,1,0,0,0
34,21,482,19,49,1,9.3,0,4489
44,4,1928,150,1416,1,3.9,0,7678
9,0,1605,101,37,1,5.2,32,8452
34,33,540,83,377,1,22,68,11912
43,59,1612,21,33,1,6.2,5,10063
22,7,548,29,139,1,11,35,6321
50,7,921,44,125,1,9.1,1,8446
62,2,1233,17,52,1,23,0,28620
122,15,553,26,8,1,2.4,2,1336
24,8,1023,90,48,1,2.1,7,2245
27,1,1647,61,134,1,10,44,16583
56,5,340,37,53,1,16,0,5570
56,1,1266,36,106,1,2.9,3,3690
23,14,468,1,14,1,5.8,1,2721
1,15,218,42,20,1,6.5,3,1421
99,0,1240,45,291,1,3,7,3733
27,32,730,0,0,1,0,0,0
76,1,1040,61,220,1,24,25,25429
28,0,399,50,254,1,21,34,8423
33,6,1480,95,200,1,6.2,25,9224
39,131,1134,43,33,1,2.2,10,2591
1,0,385,14,57,0,0.5,12,204
4,0,522,1,31,0,0.9,0,507
2,0,69,188,5,0,79,0,5463
1,0,172,17,2,0,15,1,2749
11,21,183,129,64,0,23,1,4354
1,0,6,0,2,0,21,0,128
2,0,342,0,0,0,0,0,0
1,0,1,0,2,0,164,0,164
1,0,1312,12,110,0,0.1,8,182
1,0,242,1,26,0,1.3,2,332
3,0,194,6,167,0,17,19,3459
1,0,65,59,5,0,12,0,839
13,0,5,1,1,0,8.8,0,44
13,0,386,13,10,0,1.5,1,617
12,0,0,0,0,0,0,0,0
21,15,490,51,11,0,70,29,34528
26,1,96,49,11,0,102,1,9799
1,4,514,107,55,0,10,12,5329
1,0,148,0,29,0,3.1,0,462
23,0,199,0,0,0,0,0,0
6,0,8,0,30,0,0.5,0,4
1,0,677,2,295,0,50,24,34393
0,0,0,0,0,0,0,1,0
15,11,439,15,2,0,30,0,13452
39,0,533,0,10,0,3.7,0,2022
11,0,70,0,0,0,0.4,0,29
4,0,60,0,74,0,24,4,1494
7,0,420,33,22,0,11,2,4922
4,0,146,6,4,0,0.9,1,142
9,34,1088,115,15,1,0.6,0,761
6,0,529,24,112,1,1.8,4,967
38,5,1059,78,43,1,28,1,30604
35,2,730,95,129,1,7.5,0,5479
30,0,282,1,52,1,123,0,34926
6,0,917,7,300,1,10,30,9356
30,11,938,4,2,1,13,0,13095
5,3,385,0,0,1,0,0,0
2,4,265,58,20,1,13,11,3588
4,1,1392,144,108,1,1.6,4,2334
14,1,894,11,51,1,13,7,12141
1,13,381,62,19,1,10,10,3987
25,29,985,118,49,1,6,0,5970
3,2,520,23,663,1,7.3,21,3841
6,8,435,6,168,1,5.6,6,2452
1,6,190,14,24,1,3.9,0,757
9,2,397,17,16,1,1.8,0,718
2,1,1067,33,259,1,4.9,0,5312
2,21,662,98,85,1,10,0,7178
4,0,800,197,966,1,19,47,15594
2,8,676,84,26,1,3.6,1,2463
4,11,997,20,76,1,1.8,1,1866
29,32,720,0,0,1,0,0,0
3,9,966,1,0,1,0,0,0
2,0,786,185,266,1,22,4,17392
27,4,595,93,1,1,7.1,0,4253
2,43,0,0,0,1,0,0,0
6,8,873,92,1314,1,2.4,27,2147
4,5,788,11,102,1,9.9,1,7871
2,0,486,163,621,1,34,107,16806
75,21,199,67,83,1,33,0,6623
2,0,0,0,0,1,0,0,0
16,5,1212,141,1902,1,13,1,16422
3,12,873,82,96,1,0.3,1,263
52,63,353,181,116,1,57,23,20393
10,2,758,76,117,1,6.1,2,4690
1,0,1512,93,266,1,3.5,0,5441
2,0,737,70,18,1,5.1,0,3831
11,32,175,0,0,1,0,0,0
3,0,1289,5,46,1,2.2,7,2909
15,14,753,192,582,1,2.1,44,1614
5,0,1213,36,65,1,4.5,6,5484
2,0,1111,44,2267,1,6.4,4,7151
4,7,969,39,184,1,16,2,15838
2,0,1349,142,386,1,9.8,1,13345
1,8,1114,130,215,1,14,0,16481
4,29,735,196,166,1,13,5,10186
9,7,392,11,31,1,12,0,4726
1,0,968,0,0,1,0,0,2
2,0,537,172,1244,1,59,294,31903
5,59,625,127,8,1,3.1,0,1950
1,2,497,18,50,1,35,22,17517
3,0,810,10,230,1,1.4,3,1197
2,87,660,193,2076,1,71,42,46955
1,0,486,75,18,1,3,5,1463
3,34,577,149,95,1,21,0,12153
2,2,574,187,9,1,2.4,7,1434
17,0,0,0,0,1,0,0,0
4,25,767,144,5,1,4.5,0,3455
28,0,756,14,18,1,8.2,0,6240
6,0,960,36,94,1,6.1,90,5893
2,2,760,100,263,1,10,63,8290
1,3,731,21,1,1,2.9,0,2192
3,14,630,7,157,1,2.7,4,1718
3,8,157,132,430,1,310,0,48772
7,0,1665,1,23,1,0,9,137
1,0,543,48,14,1,21,3,11417
6,0,698,21,43,1,1.5,12,1092
7,1,505,105,63,1,16,2,8236
1,0,501,127,74,1,0.9,7,500
3,0,446,19,108,1,9.7,11,4370
1,0,1092,17,235,1,6.8,0,7450
1,1,142,0,171,1,10,66,1486
1,0,156,23,99,1,12,2,1982
1,0,525,0,195,1,2.6,1,1406
1,0,279,179,114,1,6.2,0,1741
11,7,722,151,47,1,18,3,13387
1,0,151,41,85,1,55,12,8342
1,0,675,48,17,1,3.3,0,2265
1,149,697,156,212,1,11,6,8150
3,125,165,156,29,1,33,1,5452
2,0,329,10,3,1,19,1,6536
2,0,790,21,15,1,2.4,10,1904
1,0,13,5,0,0,4.6,0,60
2,0,537,59,8,0,3.3,1,1811
1,0,61,0,17,0,5.1,2,312
4,0,141,155,16,0,18,1,2550
1,0,261,3,10,0,1.7,0,458
1,0,82,25,8,0,1,1,89
1,0,239,0,3,0,3.8,0,913
1,24,810,167,74,0,3.5,0,2913
1,0,384,106,139,0,6.7,1,2597
1,34,97,20,14,0,42,0,4154
1,0,565,3,63,0,1.7,4,979
1,0,1,3,0,0,14,0,14
1,24,114,39,10,0,7,4,799
3,10,219,193,14,0,38,2,8397
2,0,710,7,193,0,2.5,1,1840
1,1,236,0,51,0,19,3,4557
1,0,235,17,108,0,2.2,30,528
5,22,462,175,21,0,4.8,1,2259
1,0,70,2,3,0,3.3,0,236
8,0,2657,0,0,0,0,0,0
1,1,222,166,39,0,4.6,2,1025
5,0,153,79,149,0,9,2,1387
2,3,208,17,8,0,5.7,1,1200
1,0,20,0,0,0,1.8,0,36
1,0,113,0,27,0,5.6,0,640
1,12,236,183,72,0,4.5,9,1081
1,0,340,192,20,0,69,1,23527
1,11,1033,18,12,0,2.4,0,2488
23,0,717,156,1195,0,34,60,24804
8,79,874,181,55,0,5.7,0,4990
1,1,209,60,256,0,4.5,1,960
1,0,78,1,5,0,4.6,0,362
6,15,627,15,44,0,5.6,5,3551
1,0,180,0,20,0,20,0,3691
1,267,466,185,41,0,6.4,0,3010
1,0,418,14,180,0,3.9,1,1658
1,1,170,1,14,0,5.3,0,912
1,0,146,21,21,0,4,1,592
3,0,68,0,26,0,9.6,0,658
4,3,306,25,102,0,10,26,3281
1,0,11,0,0,0,2.9,0,32
1,0,1092,0,0,0,0,0,0
1,3,615,17,129,0,4,2,2486
4,6,385,67,4,0,5.8,0,2241
1,1,370,5,230,0,2.6,0,976
1,0,175,3,97,0,5.2,6,912
1,0,585,9,129,0,13,0,7618
1,0,224,8,17,0,3,0,679
1,1,319,190,195,0,5.2,1,1684
1,0,38,0,2,0,1,0,38
1,0,238,195,64,0,3.6,0,867
1,0,523,0,24,0,1.2,0,638
1,0,305,6,70,0,4.4,0,1360
1,0,25,0,0,0,6.8,0,170
1,0,294,0,1,0,0.2,0,73
4,0,783,31,34,0,1.3,0,1029
1,0,267,1,6,0,1.3,0,355
16,8,397,81,696,0,44,8,17699
1,39,141,35,25,0,15,3,2168
1,0,119,2,92,0,9.4,0,1121
1,134,421,184,291,0,2.8,0,1185
1,3,122,122,16,0,30,1,3740
3,9,118,23,190,0,23,13,2803
1,1,941,199,716,0,69,0,65263
1,0,90,7,13,0,34,0,3095
1,26,483,31,7,0,3.2,1,1574
1,0,262,2,42,0,6.3,2,1673
3,22,244,43,23,0,9.2,1,2245
1,0,161,25,699,0,15,1,2426
1,0,295,1,30,0,3.5,18,1060
2,0,505,23,107,0,5.2,35,2637
4,0,707,96,81,0,6.5,6,4644
1,0,2,0,0,0,5,0,10
1,12,105,23,1,0,21,1,2263
1,0,126,123,2,0,0.9,2,121
1,15,94,1,55,0,22,0,2102
9,4,372,16,26,0,4.3,4,1622
1,1,1113,193,47,0,0.1,10,159
1,1,64,2,19,0,15,0,991
1,0,6,0,10,0,9.1,0,55
3,18,461,162,187,0,6.1,9,2844
1,2,275,193,45,0,13,0,3740
10,91,131,1,52,0,36,2,4738
1,0,691,2,115,0,2.1,2,1495
1,1,160,79,9,0,7.2,0,1167
1,1,366,5,86,0,10,29,3970
2,17,45,0,0,0,0,0,0
5,4,53,194,1005,0,54,10,2892
4,3,1354,48,23,1,2.7,1,3681
4,16,532,56,116,1,6.5,4,3496
7,51,402,181,20,1,5.2,0,2113
3,0,874,130,82,1,5.4,2,4743
2,0,220,0,10,1,12,1,2672
0,0,47,0,0,0,0,0,0
1,46,106,113,5,0,20,1,2150
1,0,194,0,2,0,1.3,0,268
1,0,721,29,2030,0,18,13,13439
1,0,78,109,28,0,19,1,1553
1,4,827,9,154,0,3.2,7,2671
1,0,442,87,449,0,0.7,1,353
