username,date_of_election,isSuccessful,votes,edit_count,year_joined
Cburnett,2015-11-30 20:51:10.428407,1,0,30049,2004
CesarB,2015-11-30 20:51:10.432149,1,0,14207,2003
Craigy144,2015-11-30 20:51:10.438671,1,0,31329,2004
Dbenbenn,2015-11-30 20:51:10.449038,1,0,19190,2004
Dbiv,2015-11-30 20:51:10.449893,1,0,10,2006
Edward,2015-11-30 20:51:10.469011,1,0,80918,2004
Feco,2015-11-30 20:51:10.489913,1,0,2965,2005
FeloniousMonk,2015-11-30 20:51:10.490153,1,0,18409,2004
Flcelloguy,2015-11-30 20:51:10.496481,1,0,15378,2005
FreplySpang,2015-11-30 20:51:10.501426,1,0,24796,2005
Func,2015-11-30 20:51:10.503887,1,0,6100,2004
Furrykef,2015-11-30 20:51:10.506581,1,0,30330,2003
Grutness,2015-11-30 20:51:10.523598,1,0,204846,2004
Hall Monitor,2015-11-30 20:51:10.529820,1,0,20413,2005
HappyCamper,2015-11-30 20:51:10.532508,1,0,12995,2005
JeremyA,2015-11-30 20:51:10.560873,1,0,26303,2005
Jitse Niesen,2015-11-30 20:51:10.563784,1,0,17192,2003
Jni,2015-11-30 20:51:10.565911,1,0,18228,2003
JoJan,2015-11-30 20:51:10.575092,1,0,81399,2004
Josh Grosse,2015-11-30 20:51:10.577671,1,0,8857,2001
Jredmond,2015-11-30 20:51:10.580503,1,0,9170,2003
Jtkiefer,2015-11-30 20:51:10.582997,1,0,9299,2005
K1Bond007,2015-11-30 20:51:10.586314,1,0,25908,2003
Karmafist,2015-11-30 20:51:10.587779,1,0,13920,2004
Katefan0,2015-11-30 20:51:10.589618,1,0,13077,2004
Khaosworks,2015-11-30 20:51:10.592932,1,0,38915,2004
Knowledge Seeker,2015-11-30 20:51:10.596161,1,0,10199,2004
Linuxbeak,2015-11-30 20:51:10.604129,1,0,7320,2005
Longhair,2015-11-30 20:51:10.606134,1,0,139815,2004
Luigi30,2015-11-30 20:51:10.610469,1,0,3725,2004
Lupin,2015-11-30 20:51:10.612219,1,0,19513,2004
Madchester,2015-11-30 20:51:10.612905,1,0,19793,2005
Mailer diablo,2015-11-30 20:51:10.613176,1,0,54005,2004
Malathion,2015-11-30 20:51:10.615675,1,0,0,2009
Marine 69-71,2015-11-30 20:51:10.619368,1,0,64363,2004
Mzajac,2015-11-30 20:51:10.645055,1,0,41749,2004
Nandesuka,2015-11-30 20:51:10.646275,1,0,13862,2005
Omegatron,2015-11-30 20:51:10.662093,1,0,33910,2003
Paul August,2015-11-30 20:51:10.669015,1,0,93528,2004
Pharos,2015-11-30 20:51:10.670929,1,0,34723,2004
Phils,2015-11-30 20:51:10.672326,1,0,2515,2004
Piotrus,2015-11-30 20:51:10.677373,1,0,179388,2004
Redwolf24,2015-11-30 20:51:10.694816,1,0,11598,2005
RHaworth,2015-11-30 20:51:10.697747,1,0,101978,2005
Rholton,2015-11-30 20:51:10.698464,1,0,11826,2003
Ronline,2015-11-30 20:51:10.709707,1,0,14159,2004
Sango123,2015-11-30 20:51:10.717258,1,0,26665,2005
Scimitar,2015-11-30 20:51:10.720301,1,0,6394,2005
Seabhcan,2015-11-30 20:51:10.723982,1,0,7174,2004
Shanes,2015-11-30 20:51:10.730651,1,0,29631,2004
Starblind,2015-11-30 20:51:10.748206,1,0,16706,2004
Sundar,2015-11-30 20:51:10.748758,1,0,8647,2004
Talrias,2015-11-30 20:51:10.754135,1,0,5626,2004
The Singing Badger,2015-11-30 20:51:10.759378,1,0,11395,-
TheCoffee,2015-11-30 20:51:10.762383,1,0,18092,2004
Trilobite,2015-11-30 20:51:10.775711,1,0,10495,2004
Ugen64,2015-11-30 20:51:10.779053,1,0,15266,2003
Uncle G,2015-11-30 20:51:10.780641,1,0,45557,2005
Vsmith,2015-11-30 20:51:10.786074,1,0,156386,2004
Woohookitty,2015-11-30 20:51:10.798348,1,0,608320,2004
Worldtraveller,2015-11-30 20:51:10.798699,1,0,8569,2004
Y0u,2015-11-30 20:51:10.801946,1,0,4141,2004
Yelyos,2005-11-15 00:34:00,1,0,1692,2003
Zocky,2005-06-01 05:55:00,1,0,10066,2002
Zscout370,2005-08-04 03:58:00,1,0,59330,2004
Zzyzx11,2015-11-30 20:51:10.807635,1,0,118788,2005
^demon,2005-12-16 17:05:00,0,0,16352,2005
80-MAN,2005-12-10 08:42:00,0,0,439,2004
9cds,2005-12-21 04:51:00,0,0,3605,2005
Aaron Brenneman,2005-11-02 14:08:00,0,0,19660,2005
ABCD,2005-03-18 19:19:00,0,0,11240,2004
Acetic Acid,2005-09-05 02:30:00,0,0,3522,2005
Activision45,2005-12-11 07:04:00,0,0,328,2005
Adam1213,2005-10-14 06:06:00,0,0,3167,2005
Admiral Roo,2015-11-30 20:51:10.816672,0,0,884,2005
AfC,2015-11-30 20:51:10.817038,0,0,483,2004
Agent003,2015-11-30 20:51:10.817289,0,0,378,2005
AlbertR,2005-09-01 20:34:00,0,0,3265,2005
Alkivar,2005-03-23 01:23:00,0,0,14523,2004
Alphax,2005-10-17 15:50:00,0,0,6681,2004
Anonymous editor,2005-10-24 21:46:00,0,0,16633,2005
Appleboy,2005-10-14 04:16:00,0,0,446,2004
ari89,2005-12-24 11:34:00,0,0,4342,2005
Aytakin,2005-11-27 03:35:00,0,0,1008,2005
Babajobu,2005-10-28 12:27:00,0,0,7991,2005
Bancroftian,2005-08-20 15:31:00,0,0,385,2005
Bart133,2005-02-14 09:54:00,0,0,19731,2004
Beau99,2005-10-20 07:02:00,0,0,963,2004
Ben Arnold,2005-08-31 03:05:00,0,0,1657,2004
BrandonYusufToropov,2015-11-30 20:51:10.832538,0,0,7035,-
Chanting Fox,2015-11-30 20:51:10.839776,0,0,1903,2005
Deltabeignet,2015-11-30 20:51:10.845505,0,0,11777,2005
Denelson83,2015-11-30 20:51:10.845718,0,0,21599,2003
Freestylefrappe,2015-11-30 20:51:10.855745,0,0,4471,2004
Guanaco,2015-11-30 20:51:10.859581,0,0,16934,2004
Hollow Wilerding,2015-11-30 20:51:10.872284,0,0,1484,2005
Howabout1,2015-11-30 20:51:10.873833,0,0,2337,2005
Jobe6,2015-11-30 20:51:10.875194,0,0,3408,2004
Kappa,2015-11-30 20:51:10.876273,0,0,36858,2004
Kils,2015-11-30 20:51:10.879026,0,0,3612,2003
Litefantastic,2015-11-30 20:51:10.880241,0,0,5603,2003
Lst27,2015-11-30 20:51:10.882534,0,0,4218,2004
maltesedog,2015-11-30 20:51:10.884882,0,0,2136,2005
Mb1000,2015-11-30 20:51:10.885622,0,0,2719,2005
Minghong,2015-11-30 20:51:10.886489,0,0,13114,2003
Mrmattkatt,2015-11-30 20:51:10.888187,0,0,136,2005
Musachachado,2015-11-30 20:51:10.888585,0,0,36,2005
Pedant,2015-11-30 20:51:10.893517,0,0,7781,2004
Pyrop,2015-11-30 20:51:10.899587,0,0,2784,2004
Rfc1394,2015-11-30 20:51:10.901311,0,0,14720,2003
Scott Gall,2015-11-30 20:51:10.908717,0,0,1465,2004
Stevey7788,2015-11-30 20:51:10.917507,0,0,17086,2005
Susvolans,2015-11-30 20:51:10.918051,0,0,8147,2004
Ta bu shi da yu,2015-11-30 20:51:10.920754,0,0,32902,2004
Wereon,2015-11-30 20:51:10.935199,0,0,17362,2004
William M. Connolley,2015-11-30 20:51:10.943029,0,0,59252,-
Zappaz,2015-11-30 20:51:10.946075,0,0,5934,2004
Zxcvbnm,2015-11-30 20:51:10.947245,0,0,13258,2004
Alex S,2015-11-30 20:51:10.950656,1,0,4650,2003
ALoan,2015-11-30 20:51:10.951363,1,0,0,2008
Andrew Yong,2015-11-30 20:51:10.954480,1,0,4683,2003
Aranel,2015-11-30 20:51:10.956915,1,0,16753,2004
Aris Katsaris,2015-11-30 20:51:10.958000,1,0,6206,2004
Arminius,2015-11-30 20:51:10.958585,1,0,2652,2004
Arvindn,2015-11-30 20:51:10.959108,1,0,4325,2002
Bearcat,2015-11-30 20:51:10.959445,1,0,821577,2003
Benc,2015-11-30 20:51:10.959743,1,0,5524,2003
Caltrop,2015-11-30 20:51:10.963158,1,0,3524,2002
Chmod007,2015-11-30 20:51:10.966267,1,0,4785,2004
Chris 73,2015-11-30 20:51:10.967391,1,0,25595,2003
ContiE,2015-11-30 20:51:10.970580,1,0,0,2007
Cool Hand Luke,2015-11-30 20:51:10.971050,1,0,14494,2004
CryptoDerk,2015-11-30 20:51:10.971701,1,0,10492,2003
CSTAR,2015-11-30 20:51:10.972383,1,0,8866,2004
Cutler,2015-11-30 20:51:10.973092,1,0,10149,2003
Danny,2015-11-30 20:51:10.976364,1,0,41414,2002
Dcoetzee,2015-11-30 20:51:10.981297,1,0,37529,2003
Duk,2015-11-30 20:51:10.987576,1,0,10888,2004
Duncharris,2015-11-30 20:51:10.988105,1,0,30510,2004
Elf,2015-11-30 20:51:10.991789,1,0,19319,2004
Exploding Boy,2015-11-30 20:51:10.993568,1,0,16819,2004
Ezhiki,2004-08-19 14:48:00,1,0,160069,2004
